"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 19:40:15 GMT 2022","Thu Aug 11 19:40:23 GMT 2022","7921","","tests.PersonalOfferTest","","tests.PersonalOfferTest","checkingInputsValidation","Проверка правильности отображения сообщения с ошибкой при незаполненных данных",""
"passed","Thu Aug 11 19:39:32 GMT 2022","Thu Aug 11 19:39:42 GMT 2022","9841","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkSearchSort","",""
"passed","Thu Aug 11 19:38:59 GMT 2022","Thu Aug 11 19:39:09 GMT 2022","10861","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingErrorPhone","",""
"passed","Thu Aug 11 19:39:52 GMT 2022","Thu Aug 11 19:40:05 GMT 2022","12621","","tests.CardSortTest","","tests.CardSortTest","checkingSortVirtualCard","Проверка сортировки виртуальной карты",""
"passed","Thu Aug 11 19:38:45 GMT 2022","Thu Aug 11 19:38:59 GMT 2022","13397","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingTheTransitionBetweenForms","",""
"passed","Thu Aug 11 19:40:05 GMT 2022","Thu Aug 11 19:40:15 GMT 2022","10588","","tests.PersonalOfferTest","","tests.PersonalOfferTest","checkingTransitionForm","Проверка перехода на ввод кода из смс",""
"passed","Thu Aug 11 19:39:20 GMT 2022","Thu Aug 11 19:39:32 GMT 2022","11571","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkErrorText","",""
"passed","Thu Aug 11 19:39:09 GMT 2022","Thu Aug 11 19:39:20 GMT 2022","10624","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingDeletePhone","",""
"passed","Thu Aug 11 19:31:16 GMT 2022","Thu Aug 11 19:38:45 GMT 2022","448901","","tests.ApplicationForOpeningCurrentAccountTest","","tests.ApplicationForOpeningCurrentAccountTest","checkSortCity","",""
"passed","Thu Aug 11 19:39:42 GMT 2022","Thu Aug 11 19:39:52 GMT 2022","10674","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkDeleteInput","",""
